FirstName,LastName,Username,Password,Department,Title,Email,PhoneNumber,OUPath,SecurityGroups
James,Dean,jdean,Mashad62974!,HR,Manager,james.dean@hq.local,555-1001,"OU=HR,DC=hq,DC=local","HR"
Mike,Pompeo,mpompeo,Mashad62974!,Marketing,Analyst,mike.pompeo@hq.local,555-1002,"OU=Marketing,DC=hq,DC=local","Marketing"
Sally,Anderson,sanderson,Mashad62974!,Sales,Coordinator,sally.anderson@hq.local,555-1003,"OU=Sales,DC=hq,DC=local","Sales"
Linda,Scott,lscott,Mashad62974!,Development,Engineer,linda.scott@hq.local,555-1004,"OU=Development,DC=hq,DC=local","Development"
Robert,King,rking,Mashad62974!,HR,Analyst,robert.king@hq.local,555-1005,"OU=HR,DC=hq,DC=local","HR"
Emily,Stone,estone,Mashad62974!,Marketing,Manager,emily.stone@hq.local,555-1006,"OU=Marketing,DC=hq,DC=local","Marketing"
David,Clark,dclark,Mashad62974!,Sales,Engineer,david.clark@hq.local,555-1007,"OU=Sales,DC=hq,DC=local","Sales"
Rachel,Moore,rmoore,Mashad62974!,Development,Coordinator,rachel.moore@hq.local,555-1008,"OU=Development,DC=hq,DC=local","Development"
John,Adams,jadams,Mashad62974!,HR,Manager,john.adams@hq.local,555-1009,"OU=HR,DC=hq,DC=local","HR"
Nancy,Drew,ndrew,Mashad62974!,Marketing,Analyst,nancy.drew@hq.local,555-1010,"OU=Marketing,DC=hq,DC=local","Marketing"
Brian,Hall,bhall,Mashad62974!,Sales,Coordinator,brian.hall@hq.local,555-1011,"OU=Sales,DC=hq,DC=local","Sales"
Tina,Foster,tfoster,Mashad62974!,Development,Engineer,tina.foster@hq.local,555-1012,"OU=Development,DC=hq,DC=local","Development"
George,Baker,gbaker,Mashad62974!,HR,Analyst,george.baker@hq.local,555-1013,"OU=HR,DC=hq,DC=local","HR"
Ashley,Young,ayoung,Mashad62974!,Marketing,Manager,ashley.young@hq.local,555-1014,"OU=Marketing,DC=hq,DC=local","Marketing"
Kevin,Price,kprice,Mashad62974!,Sales,Engineer,kevin.price@hq.local,555-1015,"OU=Sales,DC=hq,DC=local","Sales"
Megan,Reed,mreed,Mashad62974!,Development,Coordinator,megan.reed@hq.local,555-1016,"OU=Development,DC=hq,DC=local","Development"
Charles,White,cwhite,Mashad62974!,HR,Manager,charles.white@hq.local,555-1017,"OU=HR,DC=hq,DC=local","HR"
Olivia,Grant,ogrant,Mashad62974!,Marketing,Analyst,olivia.grant@hq.local,555-1018,"OU=Marketing,DC=hq,DC=local","Marketing"
Jason,Brown,jbrown,Mashad62974!,Sales,Coordinator,jason.brown@hq.local,555-1019,"OU=Sales,DC=hq,DC=local","Sales"
Hannah,Green,hgreen,Mashad62974!,Development,Engineer,hannah.green@hq.local,555-1020,"OU=Development,DC=hq,DC=local","Development"
